Name,Symbol,Price (USD),Market Cap (USD),"Volume (24h, USD)",Percent Change 1h,Percent Change 24h,Percent Change 7d,Circulating Supply,Total Supply,Max Supply,Rank,Last Updated
Avalanche,AVAX,17.546092823019293,7405543459.924765,189213348.83431995,-0.13971215,0.92879948,-0.07987408,422062252.5266246,457064952.5266246,715748719.0,17,2025-06-28T06:15:00.000Z
Toncoin,TON,2.8492932531395176,7031454541.257343,94635748.34968895,-0.10938731,0.6321015,-3.02105511,2467788997.678521,5133755156.551551,,18,2025-06-28T06:15:00.000Z
Shiba Inu,SHIB,1.1361592003077414e-05,6694796780.548993,91919013.78358978,-0.01224133,1.04966602,-0.11297622,589248124623347.9,589502717883084.4,589552695333683.0,19,2025-06-28T06:14:00.000Z
Litecoin,LTC,85.39114949959847,6490949692.167595,291585622.45430756,0.02164888,0.66851594,1.78683015,76014314.48347135,84000000,84000000.0,20,2025-06-28T06:15:00.000Z
Hedera,HBAR,0.14691881955469954,6226413653.666542,126548718.27129774,0.31218544,2.78611144,0.91026359,42379959712.02571,50000000000,50000000000.0,21,2025-06-28T06:15:00.000Z
Monero,XMR,311.2417156576067,5741396273.798149,88130675.55007003,0.79763249,-0.00625347,-0.80035849,18446744.07370955,18446744.07370955,,22,2025-06-28T06:15:00.000Z
Bitget Token,BGB,4.699533139115862,5498421295.23194,78046549.60450128,0.15411221,0.92113416,9.23169025,1169993089.2,1169993089.2,,23,2025-06-28T06:14:00.000Z
Dai,DAI,1.000036639258443,5365579286.308361,19023693193.152275,0.00224981,0.01600126,0.02605198,5365382702.664872,5365382702.664872,,24,2025-06-28T06:15:00.000Z
Polkadot,DOT,3.3545643053793563,5339485979.408948,131409146.07879618,-0.10143339,1.58141304,-3.87799139,1591707743.0432873,1591707743.0432873,,25,2025-06-28T06:15:00.000Z
Ethena USDe,USDe,1.0002277634254213,5300647193.242765,73396718.65978253,-0.00560282,0.01906494,-0.02889184,5299440174.595784,5299440174.595784,,26,2025-06-28T06:15:00.000Z
Uniswap,UNI,6.87342048234787,4321593271.710569,228967512.0584509,-0.31612569,-0.16894215,-2.27074783,628739836.71,1000000000,,27,2025-06-28T06:15:00.000Z
Pi,PI,0.5308400486136714,4036150257.7484393,130816030.69754659,-4.98437636,-4.44821947,-1.61412899,7603326592.04811,100000000000,100000000000.0,28,2025-06-28T06:15:00.000Z
Pepe,PEPE,9.290370396899772e-06,3908364990.016017,493276128.07291394,0.3635708,0.97809721,-7.75635217,420689899653543.56,420689899653543.56,420690000000000.0,29,2025-06-28T06:15:00.000Z
Aave,AAVE,256.3762849153827,3889889422.621639,368696857.81163067,-0.20189273,-0.08271954,2.63007021,15172578.94545707,16000000,,30,2025-06-28T06:15:00.000Z
Aptos,APT,4.7680548087941546,3070709618.021663,345741398.6858741,-0.47521323,-6.38767448,5.35834887,644017265.1451229,1152104318.512316,,31,2025-06-28T06:15:00.000Z
OKB,OKB,50.213512503926545,3012810750.235593,4254363.75439414,0.01165833,0.43416471,-2.91240374,60000000,300000000,,32,2025-06-28T06:15:00.000Z
Bittensor,TAO,324.5332709212405,2891423011.1406446,146974005.0273293,0.35242978,1.79642592,-5.22301814,8909481,8909481,21000000.0,33,2025-06-28T06:15:00.000Z
NEAR Protocol,NEAR,2.1078868656614382,2592079943.500533,147528385.26667604,-0.23076482,1.45540133,0.91092349,1229705439,1257587194,,34,2025-06-28T06:15:00.000Z
Internet Computer,ICP,4.729410415831605,2529918379.548872,45921342.50687721,-0.35283462,0.06165122,-4.47789675,534933143.26877224,534933143.26877224,,35,2025-06-28T06:15:00.000Z
Cronos,CRO,0.08053484349671879,2504601170.6504784,9268025.22987375,0.04911499,0.01196966,-8.91175969,31099596918.59987,97543210869,100000000000.0,36,2025-06-28T06:15:00.000Z
Ethereum Classic,ETC,16.129008956597634,2459524027.4380474,68019537.35112311,-0.07128423,-0.12251639,-0.28573805,152490710.00310713,210700000,210700000.0,37,2025-06-28T06:14:00.000Z
Ondo,ONDO,0.7475184741847342,2361491239.863586,82055198.87126479,0.07262599,1.62146623,0.97475305,3159107529,10000000000,,38,2025-06-28T06:15:00.000Z
World Liberty Financial USD,USD1,1.0001653113980102,2204951029.2905664,813440956.6990854,-0.00771075,0.01999008,0.02978359,2204586586,2204586586,,39,2025-06-28T06:15:00.000Z
Mantle,MNT,0.5974849577735232,2011011514.7036312,136191315.36150584,0.08300444,-0.07265459,-6.15566065,3365794382.8368406,6219316794.99,6219316795.0,40,2025-06-28T06:15:00.000Z
Kaspa,KAS,0.07487283454557492,1974717130.686899,71033932.30919228,-0.55945378,1.13625553,9.01373997,26374280373.810253,26374280373.810253,28704026601.0,41,2025-06-28T06:15:00.000Z
GateToken,GT,15.430817552282862,1896610858.6718073,6737022.91266306,-1.22071126,-0.7162017,-8.13428583,122910588,133600000,300000000.0,42,2025-06-28T06:15:00.000Z
POL (prev. MATIC),POL,0.17517920331437184,1831086880.6556342,96012941.85327984,-0.05398293,1.17807963,-5.22349652,10452649892.29124,10452649892.29124,,43,2025-06-28T06:15:00.000Z
OFFICIAL TRUMP,TRUMP,9.027533700021394,1805500849.495424,170280353.48533008,0.02985261,0.82689653,-3.23752162,199999347.495224,999999371.859231,999999993.45,44,2025-06-28T06:15:00.000Z
VeChain,VET,0.020437389778784495,1757309801.6791837,24059889.53489785,-0.15688224,0.22473784,-3.63140025,85985041177,85985041177,86712634466.0,45,2025-06-28T06:15:00.000Z
Sky,SKY,0.08034498601066935,1710949408.215871,5002475.17301329,0.60707046,5.35093703,4.46937243,21295036481.66255,28646765102.32853,,46,2025-06-28T06:15:00.000Z
Render,RENDER,3.1919404892466368,1653836196.5942686,85394589.26129167,0.18021197,5.38814914,4.4051477,518128769.05628264,532888942.3362826,644168762.0,47,2025-06-28T06:15:00.000Z
Artificial Superintelligence Alliance,FET,0.6662720024253391,1594789820.9583373,92076451.88938233,-0.24566636,-0.13987334,1.80185329,2393601734.9566565,2714493896.672,2719493897.0,48,2025-06-28T06:15:00.000Z
Sei,SEI,0.284996476774356,1583709588.1708326,599485536.862285,-0.88482399,-0.91823088,27.66467759,5556944444,10000000000,,49,2025-06-28T06:15:00.000Z
Ethena,ENA,0.2534128495764861,1542650721.796859,92876804.85217662,-0.02476306,0.88432408,-5.60225109,6087500000,15000000000,15000000000.0,50,2025-06-28T06:15:00.000Z
Cosmos,ATOM,3.9342780238975723,1538043847.5870905,58955084.97760668,-0.15308359,0.75947512,-1.18632805,390934204,390934204,,51,2025-06-28T06:15:00.000Z
Arbitrum,ARB,0.3031467145619015,1504589383.0202105,158582373.96054646,0.11698788,-0.01378019,5.01342623,4963238296,10000000000,,52,2025-06-28T06:15:00.000Z
Algorand,ALGO,0.1739264661400149,1501887963.7295094,43453487.93259377,-0.17672678,1.03888927,3.47644576,8635189324.898111,10000000000,10000000000.0,53,2025-06-28T06:15:00.000Z
Filecoin,FIL,2.19068966336042,1484235116.5327067,147356400.78260013,-0.15609194,-0.04447322,-4.49698172,677519569,1959392567,,54,2025-06-28T06:15:00.000Z
First Digital USD,FDUSD,0.9983055006594647,1476659584.3581426,3700657591.6760116,-0.01580937,-0.00993731,0.03123697,1479166030.220894,1479166030.220894,,55,2025-06-28T06:15:00.000Z
Worldcoin,WLD,0.877574760370362,1466241082.3826108,116974233.23071197,0.02816675,1.37005879,-1.17770393,1670787662.3113165,10000000000,,56,2025-06-28T06:15:00.000Z
KuCoin Token,KCS,11.146190837819304,1392908502.4542522,6327150.24581722,0.05107327,0.86309316,1.17964426,124967221.78199917,142467221.78199917,200000000.0,57,2025-06-28T06:15:00.000Z
Quant,QNT,104.60239977035364,1262837366.5987396,17932052.16153447,-0.90151693,5.86912447,9.19250407,12072738,14881364,14881364.0,58,2025-06-28T06:15:00.000Z
Jupiter,JUP,0.4154526508884525,1226136948.9111178,28108583.85115897,1.07606057,4.3914855,7.96843173,2951327777.76,6999215480.766153,7000000000.0,59,2025-06-28T06:14:00.000Z
SPX6900,SPX,1.2336236285763724,1148495073.951683,61851223.06542045,0.18803571,7.49808297,15.10261766,930993090.07,930993090.07,1000000000.0,61,2025-06-28T06:14:00.000Z
Flare,FLR,0.017010212355732898,1149282749.0455673,6954993.8067869,-0.66831875,-2.63884209,-1.67597777,67564279916.718864,103630918483.91797,,60,2025-06-28T06:15:00.000Z
Bonk,BONK,1.3585044038409517e-05,1089995547.7192166,82885462.93962146,0.55327913,2.38534115,-0.74006711,80234966087517.3,88796024835117.88,88872433754423.19,62,2025-06-28T06:15:00.000Z
Four,FORM,2.807871038285263,1072234006.1899384,9636855.94979271,0.19095258,-0.2815887,16.38652842,381867255.144574,572301922.0959299,580000000.0,63,2025-06-28T06:15:00.000Z
Kaia,KAIA,0.1736072595060992,1051064448.403597,44488494.01991242,-0.5313179,-1.80008542,-10.59662577,6054265538.168182,6054265547.760342,,64,2025-06-28T06:15:00.000Z
Fartcoin,FARTCOIN,1.0448314457008883,1044829623.5148469,165605012.15022713,0.7694345,7.42644241,12.33599197,999998256,1000000000,1000000000.0,65,2025-06-28T06:15:00.000Z
Injective,INJ,10.433878750672637,1043084618.6592656,83207176.5145733,-0.37200432,-2.0508205,-6.46427454,99970935.41,100000000,,66,2025-06-28T06:15:00.000Z
Stacks,STX,0.6576123895616252,1007447045.446198,26935308.21515929,-0.09566541,-0.03978109,7.28298675,1531976984.37187,1531976984.37187,1818000000.0,67,2025-06-28T06:15:00.000Z
Celestia,TIA,1.4441872103216187,995553820.9721025,69410784.82816678,-0.22172216,-0.00109851,-10.03154728,689352331.786953,1131342904.109205,,68,2025-06-28T06:15:00.000Z
XDC Network,XDC,0.05972701864224261,968873045.1806177,22824106.02378294,0.20173405,0.63179241,1.61049457,16221687725.35,38001872996.85,,69,2025-06-28T06:15:00.000Z
PayPal USD,PYUSD,0.9995810284637815,967348346.20144,6425000.59700125,-0.01496779,0.00595018,-0.02782659,967753807.50085,967753807.50085,,70,2025-06-28T06:15:00.000Z
Virtuals Protocol,VIRTUAL,1.4597174768342616,955963711.6949166,164831671.71803522,0.09031215,1.74786129,-6.62675139,654896393.9022963,1000000000,1000000000.0,71,2025-06-28T06:15:00.000Z
Optimism,OP,0.5351499676861613,937682719.5679678,109551346.62597871,-0.22063539,0.66316152,-2.20109139,1752186819,4294967296,4294967296.0,72,2025-06-28T06:15:00.000Z
PAX Gold,PAXG,3294.9260986984314,904695140.7063065,93822918.48019503,-0.07448661,-0.43558578,-2.97653426,274572.21,274572.21,,73,2025-06-28T06:15:00.000Z
Sonic,S,0.30595726557230757,881156924.8482457,53189354.39994858,0.09550005,-1.43624049,9.00409152,2880000000,3175000000,,74,2025-06-28T06:15:00.000Z
Story,IP,2.96705232376438,847940644.6211535,19224674.23752148,0.03353894,1.70692091,11.40502911,285785538,1007977205,,75,2025-06-28T06:15:00.000Z
Tether Gold,XAUt,3280.7590924087663,808785854.4969786,21029247.24993166,-0.08319894,-0.56754523,-2.96250659,246524,246524,,76,2025-06-28T06:15:00.000Z
The Graph,GRT,0.08133651864734495,803215256.7731674,24040956.89084453,-0.01027164,1.89440372,-0.05263219,9875210669.585089,10800262823.318213,,77,2025-06-28T06:15:00.000Z
dogwifhat,WIF,0.7892498110326922,788334742.545721,203323263.7720127,0.22608325,1.58110945,2.10719684,998840584.471254,998840584.471254,998840592.989347,78,2025-06-28T06:15:00.000Z
Vaulta,A,0.49387171209215486,777562820.8969295,26851551.98913037,0.30558648,-0.79413988,-2.02340146,1574422672.6471,2100000000,2100000000.0,79,2025-06-28T06:15:00.000Z
Nexo,NEXO,1.1980736279457567,774130290.2012994,7427121.11531779,-0.52265763,1.46250357,-0.89769981,646145839.5746847,1000000000,1000000000.0,80,2025-06-28T06:15:00.000Z
Immutable,IMX,0.4103871524652949,765941011.3363807,20056923.51161152,-0.06242254,0.5072719,3.75207557,1866386427.3898141,2000000000,2000000000.0,81,2025-06-28T06:15:00.000Z
DeXe,DEXE,8.705325351597105,728926713.884603,7874490.59852557,-2.56581245,-1.48440431,14.36628265,83733425.74162056,96504599.33609451,,82,2025-06-28T06:15:00.000Z
Pudgy Penguins,PENGU,0.01126107696813495,707875758.6173898,297333620.78807247,0.51002907,20.61240597,22.0213014,62860396090.04,88888888888,,83,2025-06-28T06:15:00.000Z
Curve DAO Token,CRV,0.5155636212298337,700139130.4233145,74540340.32677358,-0.45588718,1.02261051,-10.63927106,1358007240.218368,2276793359.378293,3030303030.299,84,2025-06-28T06:15:00.000Z
PancakeSwap,CAKE,2.1632231559988973,694467358.899393,30194909.19883207,0.24031443,1.04123533,-0.71800513,321033619.19621897,367516474.1453388,450000000.0,85,2025-06-28T06:15:00.000Z
Jito,JTO,2.0261789505808148,692886382.37706,32782462.03864114,1.6580506,3.83581864,-3.10327021,341967022.3,999999712.1831489,,86,2025-06-28T06:15:00.000Z
FLOKI,FLOKI,7.042249683907684e-05,677765951.2726417,47077540.54004638,-0.0753076,0.39360693,-1.90597252,9624281752199.322,9660424697721.725,,87,2025-06-28T06:15:00.000Z
Ethereum Name Service,ENS,18.375384908572965,670354042.2933204,31178283.51419114,-0.19747631,0.28264518,-2.16979853,36481088.4576665,100000000,,88,2025-06-28T06:15:00.000Z
Theta Network,THETA,0.6562181778571586,656218177.8571587,10570670.44489816,-0.20871426,-0.0316545,-0.85948612,1000000000,1000000000,1000000000.0,89,2025-06-28T06:15:00.000Z
Aerodrome Finance,AERO,0.7660025232272485,648143351.5084587,27039638.40706351,0.34944963,-1.6462787,-5.93409869,846137358.3702612,1670330639.9426827,,90,2025-06-28T06:15:00.000Z
Maple Finance,SYRUP,0.578715174657595,644380411.6815103,104120803.18714832,0.98061964,-4.41225976,28.10367845,1113467280.4506414,1189633000.0542712,,91,2025-06-28T06:15:00.000Z
JasmyCoin,JASMY,0.013029979919945194,644267352.9352162,21430663.25946787,-0.06533251,1.27543023,6.63014635,49444999677.16958,50000000000,50000000000.0,92,2025-06-28T06:15:00.000Z
Zcash,ZEC,37.72724115036215,630492648.2979445,76536247.04975674,0.3426471,-5.142474,-6.64559726,16711867.31585043,16717818.87835043,21000000.0,93,2025-06-28T06:14:00.000Z
Lido DAO,LDO,0.6966823242565345,624896374.0405234,50512124.35072122,-0.36538342,0.18732484,-4.33687823,896960282.0157413,1000000000,,94,2025-06-28T06:15:00.000Z
The Sandbox,SAND,0.24021337113680286,612133137.0150177,43297477.50821608,0.47224948,0.37456301,-4.03350119,2548289190.2233224,3000000000,,95,2025-06-28T06:15:00.000Z
Gala,GALA,0.013507958577989476,608727299.2325026,45496382.26451028,-0.19373543,0.93620254,-3.51085905,45064344528.29848,45064344528.29848,50000000000.0,96,2025-06-28T06:15:00.000Z
Bitcoin SV,BSV,30.51809771078997,606849607.2764535,48256299.2172101,-0.38351938,-0.03844693,-0.93660555,19884909.375,19884909.375,,97,2025-06-28T06:15:00.000Z
IOTA,IOTA,0.15547433883241432,600663392.4657043,12416397.41592078,-0.06422025,1.98064346,-3.00597604,3863424646,4600000000,,98,2025-06-28T06:15:00.000Z
BitTorrent [New],BTT,5.868588114771154e-07,578678670.3408251,29432942.80343233,-0.14200132,0.02597224,-1.83358483,986061142857000,990000000000000,,99,2025-06-28T06:15:00.000Z
Pendle,PENDLE,3.493586762856776,568611234.817328,39814094.53258081,0.41561084,3.43608117,-5.01700381,162758584.06114498,281527448.45853144,,100,2025-06-28T06:15:00.000Z
Tezos,XTZ,0.5249732918418826,550622035.8010932,13198253.5215799,-0.01315665,-0.23904779,0.22632174,1048857235.897128,1068979858.598974,,101,2025-06-28T06:15:00.000Z
AB,AB,0.0083863892373678,546704518.605961,142810886.5920946,-0.00106968,-16.01537396,-26.53124737,65189499691.95,98823661261.46,98823661261.46,102,2025-06-28T06:14:00.000Z
Raydium,RAY,2.0190244752522646,540339006.0797426,36927649.64990126,0.33574,4.02954049,-2.02612372,267623801.842338,554998387.087434,555000000.0,103,2025-06-28T06:15:00.000Z
Pyth Network,PYTH,0.09355355166685235,537931623.7409762,25236666.45270197,0.4864353,0.45403154,-0.31701259,5749986121.922667,9999986121.922667,10000000000.0,104,2025-06-28T06:15:00.000Z
Walrus,WAL,0.3848318987268426,518801503.47112465,138973538.91750282,0.11317969,4.10415887,-7.64307197,1348125000,5000000000,5000000000.0,105,2025-06-28T06:15:00.000Z
Core,CORE,0.5086086376913428,510873176.4846845,14074192.43168098,-0.13210377,-2.76258434,-5.97758347,1004452419.0615811,2093769839.0352812,2100000000.0,106,2025-06-28T06:15:00.000Z
Flow,FLOW,0.3196800720341104,508878839.5382697,11212515.08406299,-0.12892942,-0.09752585,-5.22009671,1591837853.0769708,1591837853.0769708,,107,2025-06-28T06:15:00.000Z
Onyxcoin,XCN,0.014845380564151,497584371.1554077,21207409.07141991,-0.4927078,-1.64656732,9.50751732,33517791545,48402437326,48402437326.0,108,2025-06-28T06:15:00.000Z
LayerZero,ZRO,1.735103574349784,494292317.9334381,27345900.72861854,-0.70552242,3.26865002,0.17904074,284877701.38948053,947834792.441285,1000000000.0,109,2025-06-28T06:15:00.000Z
TrueUSD,TUSD,0.9983894487568393,493718641.11831266,50809337.22318429,0.0094448,0.03363953,0.10131896,494515083,494515083,,110,2025-06-28T06:15:00.000Z
Decentraland,MANA,0.24737880415813462,487269207.10060906,25849176.04567432,-0.17645541,0.02219679,-1.80015991,1969729010.368757,2193179327.320146,,111,2025-06-28T06:15:00.000Z
Movement,MOVE,0.17986042895840926,467637115.2918641,120465055.97373426,0.40115233,0.49707682,40.14015557,2600000000,10000000000,10000000000.0,112,2025-06-28T06:15:00.000Z
THORChain,RUNE,1.3133407818957938,461644485.66586787,105892811.36832206,-0.24713404,-0.39851831,-1.99086037,351503960,425506824,,113,2025-06-28T06:15:00.000Z
ApeCoin,APE,0.5976416569373041,449815898.5209722,22912701.42884117,-0.33739776,-1.19971318,-3.36329169,752651515,1000000000,1000000000.0,114,2025-06-28T06:15:00.000Z
USDD,USDD,1.000465233508034,445424112.85883737,22729120.57508905,0.00533903,0.01075937,0.02990868,445216983,445216983,,115,2025-06-28T06:15:00.000Z
Kava,KAVA,0.40124241892213547,434486692.27578634,7034519.29347689,0.04189036,-0.97310795,-1.77332109,1082853337,1082853337,,116,2025-06-28T06:15:00.000Z
APENFT,NFT,4.3163484892748675e-07,431630532.5789975,26404220.7766056,-0.14731927,-0.58177149,4.06373505,999990000000000,999990000000000,999990000000000.0,117,2025-06-28T06:15:00.000Z
DeepBook Protocol,DEEP,0.13289812613329474,431121521.1764082,19524311.05571864,-0.05744368,6.07228181,0.77229926,3244000000,10000000000,10000000000.0,118,2025-06-28T06:15:00.000Z
Compound,COMP,45.92542864261341,426704592.2996948,29726524.76596215,-0.07945679,0.99193208,-5.64302651,9291248.98583446,10000000,,119,2025-06-28T06:15:00.000Z
Morpho,MORPHO,1.3463283306356264,418726534.97391635,8490318.79118641,0.17853208,-0.80830289,10.67725478,311013684.734858,1000000000,1000000000.0,120,2025-06-28T06:15:00.000Z
Helium,HNT,2.254473093973979,415252841.56154716,6695738.12292163,0.54240192,4.88494995,-6.49693477,184190639.7869568,184190639.7869568,223000000.0,121,2025-06-28T06:15:00.000Z
Brett (Based),BRETT,0.04008887819929924,397290259.7654174,18483072.40421643,-0.07601081,1.47858751,-1.15474501,9910236395,9910236395,10000000000.0,122,2025-06-28T06:15:00.000Z
Dog (Bitcoin),DOG,0.003933345216252051,393334521.62520516,49082364.42415131,0.16891104,-9.80618801,24.78011128,100000000000,100000000000,100000000000.0,123,2025-06-28T06:15:00.000Z
Reserve Rights,RSR,0.006725456288480103,389482829.47347087,21747535.74022884,1.50034786,5.75933737,8.40998466,57911733088,100000000000,100000000000.0,124,2025-06-28T06:15:00.000Z
Neo,NEO,5.324497090639,375583800.4365761,28484513.07348373,-0.12344998,-1.12410324,-2.07738436,70538831,100000000,,125,2025-06-28T06:15:00.000Z
MultiversX,EGLD,13.061217831576773,370612075.6840249,11318219.41883351,-0.03371378,0.2011236,-3.35493041,28375001.50927993,28380157,31415926.0,126,2025-06-28T06:15:00.000Z
AIOZ Network,AIOZ,0.3117267000903923,369649630.54954094,7448546.25556622,-0.2325489,0.00138642,1.52488997,1185813183.2863615,1185813183.2863615,,127,2025-06-28T06:15:00.000Z
eCash,XEC,1.853022223182574e-05,368465101.2499629,5156251.02993553,-0.27307209,-1.1840615,-1.73581609,19884548422583,19884548422583,21000000000000.0,128,2025-06-28T06:15:00.000Z
Starknet,STRK,0.10923549339248431,366110207.4852135,19165225.84355965,-0.34887586,0.03256177,-0.69408965,3351568213.911714,10000000000,10000000000.0,129,2025-06-28T06:15:00.000Z
Conflux,CFX,0.07106030568075478,361988830.6958818,18054642.68513221,-0.17612035,1.54027732,-1.15598896,5094107423.66,5094107423.66,,130,2025-06-28T06:15:00.000Z
dYdX,DYDX,0.4827031026331032,360147387.53750914,6670660.72431935,-0.2397455,0.83119086,-1.25259749,746105391.8504701,889308850,,131,2025-06-28T06:15:00.000Z
SuperVerse,SUPER,0.595734732943815,357984514.6807624,10470820.96553188,-0.23623744,0.25490137,2.87907088,600912612.4169173,999998077.4169173,,132,2025-06-28T06:15:00.000Z
Axie Infinity,AXS,2.1632401034955495,353694343.4784478,15042725.90562758,-0.15549686,-0.72434509,-2.96912008,163502120.2255441,270000000,,133,2025-06-28T06:15:00.000Z
KAITO,KAITO,1.4518208711147382,350453427.10539883,44784533.60764508,-0.13423448,4.02732143,4.76716383,241388889,1000000000,1000000000.0,134,2025-06-28T06:15:00.000Z
Mog Coin,MOG,8.857212403550925e-07,345933953.95484906,13789502.67651575,0.42644167,1.4837119,8.97515446,390567526433216.7,390567526433216.7,420690000000000.0,135,2025-06-28T06:15:00.000Z
Chiliz,CHZ,0.034950376933562205,338555762.3492254,28288294.56558415,0.01500059,1.58333265,0.19428807,9686755682,9686755682,,136,2025-06-28T06:15:00.000Z
ether.fi,ETHFI,0.8942854698726292,335078165.5955998,59416219.73709669,-0.49032816,-3.25151078,-3.87510727,374688147,1000000000,1000000000.0,137,2025-06-28T06:15:00.000Z
JUST,JST,0.03364223238119913,333058100.5738714,49977519.53969279,-0.05853569,1.40048085,-0.94311898,9900000000,9900000000,,138,2025-06-28T06:15:00.000Z
EigenLayer,EIGEN,1.0513623734911515,327267328.303134,50210331.49034614,-0.95674403,-2.28143486,-4.92002131,311279285.38702685,1732868011.9316556,,139,2025-06-28T06:15:00.000Z
Wormhole,W,0.06879118181211617,319560360.86339283,82414849.81874397,1.14604252,10.53063173,11.40445738,4645368090,10000000000,10000000000.0,140,2025-06-28T06:15:00.000Z
Axelar,AXL,0.322156221358187,319470676.69984007,10505815.90274371,-0.36094745,0.73653252,-13.43386515,991663843.563148,1206687799.757535,,141,2025-06-28T06:15:00.000Z
Sun [New],SUN,0.016453380535574793,317060592.51293236,13346835.28719412,-0.01095989,0.40786909,-5.07143281,19270240047.472164,19900730000,19900730000.0,142,2025-06-28T06:15:00.000Z
ZKsync,ZK,0.044329821806824515,314301596.21785957,23876623.74920099,-0.54016261,-1.46843334,0.35433864,7090071274.987018,13703157062.3152,21000000000.0,143,2025-06-28T06:15:00.000Z
Arweave,AR,4.673042090215232,306796736.94442445,28723019.53212751,0.03079786,0.12053972,-9.69622285,65652466,65652466,66000000.0,144,2025-06-28T06:15:00.000Z
Zebec Network,ZBCN,0.0036036657168749212,304745594.5625305,23280314.879938,-0.08914116,2.21781275,-9.89937311,84565444884.49506,99998855482.39175,100000000000.0,145,2025-06-28T06:15:00.000Z
Terra Classic,LUNC,5.530431965847061e-05,302264363.8649072,5874611.10631703,-0.08850508,0.34670011,-3.66275566,5465474771799.518,6495788707138.559,,146,2025-06-28T06:15:00.000Z
Gnosis,GNO,107.51485929928572,283728877.9289709,3093174.55064462,-0.14808891,-0.93024699,0.20770715,2638973.62446584,2999934.74597423,,147,2025-06-28T06:15:00.000Z
Grass,GRASS,1.1606511227775198,283088717.7203031,47504272.87756116,-0.69547046,-2.9013445,-4.20667567,243905091,1000000000,,148,2025-06-28T06:15:00.000Z
Trust Wallet Token,TWT,0.676671780989811,281935229.88222665,6060425.45140495,-0.35749507,-0.26402576,-7.13674066,416649900,999668148,,149,2025-06-28T06:15:00.000Z
Aethir,ATH,0.028440259809137062,281429064.239729,15292742.68619119,-0.09775299,0.35525919,-18.63247262,9895446319,42000000000,42930966511.91401,150,2025-06-28T06:15:00.000Z
Ronin,RON,0.42978794883852095,281184333.5387075,4316313.37815854,-0.22592888,-1.58970848,-5.23796879,654239687.9637812,1000000000,1000000000.0,151,2025-06-28T06:15:00.000Z
Amp,AMP,0.003332963290249304,280740775.6991472,5248946.50585373,0.15507476,0.77298329,-3.62748077,84231583504.22394,99669506240.70958,100000000000.0,152,2025-06-28T06:15:00.000Z
Popcat (SOL),POPCAT,0.28262659348279545,276966482.86798465,33731395.19650353,0.74767276,6.64518076,0.02638522,979973184.6,979973220.96,979973220.96,153,2025-06-28T06:15:00.000Z
Cheems (cheems.pet),CHEEMS,1.445841496303057e-06,271088101.62905514,8860866.96754309,0.46413841,2.59280755,-0.48166838,187495034775398,203672952644644.2,203672960023058.0,154,2025-06-28T06:15:00.000Z
Creditcoin,CTC,0.5832752388400666,265049631.84633535,6545704.79166012,-0.505934,-0.23487854,-4.25736382,454416053,549564264,600000000.0,155,2025-06-28T06:14:00.000Z
Beam,BEAM,0.005341108397006319,264203290.22805437,15661134.28719264,0.14667628,1.6477322,3.47919935,49466004168,62434008330,,156,2025-06-28T06:15:00.000Z
Akash Network,AKT,1.0539958282435085,261692191.78496698,5074511.77786933,-0.08902974,-1.38165604,-2.17504136,248285794.661141,248285800.802151,388539008.0,157,2025-06-28T06:15:00.000Z
FTX Token,FTT,0.7719339618343909,253885300.51446214,5300952.49667001,-0.03465046,-0.51080499,-2.99983291,328895103.813207,328895103.813207,,158,2025-06-28T06:15:00.000Z
Decred,DCR,14.585927312615107,246144660.62104192,2407936.36580536,0.08852039,1.02908227,1.95734929,16875489.32237965,16875489.32237965,21000000.0,159,2025-06-28T06:15:00.000Z
1inch Network,1INCH,0.1760303992114491,245379344.5120964,8579395.76942094,-0.11093854,-0.00507303,-3.70820875,1393960052.4188142,1500000000,,160,2025-06-28T06:15:00.000Z
Livepeer,LPT,5.840552160276649,244525904.14347288,155555677.5283353,-0.13854915,5.86488233,-2.87269183,41866915.56434802,41866915.56434802,,161,2025-06-28T06:15:00.000Z
Moca Network,MOCA,0.07091531991093168,239861876.82754564,19374207.10505547,-0.06219487,0.32047973,-0.95545658,3382370369.7425,8888888888,8888888888.0,162,2025-06-28T06:15:00.000Z
Dash,DASH,19.465456481158906,239764655.7937943,25635061.59882567,0.11577246,0.53601317,-0.21100471,12317443.26293444,12317443.26293444,18900000.0,163,2025-06-28T06:15:00.000Z
Turbo,TURBO,0.0034169945505357242,235772623.98696497,21765185.19598965,-0.74006745,-0.63813811,-3.20398904,69000000000,69000000000,69000000000.0,164,2025-06-28T06:15:00.000Z
Safe,SAFE,0.3901000744091949,231585409.71449554,6758322.0345073,-0.26611791,0.82538544,-3.06796336,593656410,1000000000,1000000000.0,165,2025-06-28T06:15:00.000Z
Convex Finance,CVX,2.357365962138714,231123640.37326342,6954732.12589211,-0.06645615,-1.02115619,-6.56814203,98043173.64605413,99904883.09644797,,166,2025-06-28T06:15:00.000Z
cat in a dogs world,MEW,0.0025175389833984297,223781242.9665115,17789233.20091018,0.11376009,1.38991376,-2.91667553,88888888888,88888888888,88888888888.0,167,2025-06-28T06:15:00.000Z
SafePal,SFP,0.43680868281107094,218404341.40553546,13141333.14797406,-0.00775372,-1.0655115,-11.34342672,500000000,500000000,500000000.0,168,2025-06-28T06:15:00.000Z
